date,day_of_week,month,year,day_of_month,quarter,is_ramadan,is_payday,is_navruz,transaction_volume,avg_transaction_value,region
2019-02-26,1,2,2019,26,1,0.0,0,0,481434,12044,Tashkent
2019-02-27,2,2,2019,27,1,0.0,0,0,492413,12936,Fergana
2019-02-28,3,2,2019,28,1,0.0,0,0,505616,12100,Tashkent
2019-03-01,4,3,2019,1,1,0.0,0,0,682785,13415,Samarkand
2019-03-02,5,3,2019,2,1,0.0,0,0,503174,11049,Namangan
2019-03-03,6,3,2019,3,1,0.0,0,0,509630,12203,Namangan
2019-03-04,0,3,2019,4,1,0.0,0,0,629665,11215,Tashkent
2019-03-05,1,3,2019,5,1,0.0,0,0,627830,12511,Samarkand
2019-03-06,2,3,2019,6,1,0.0,0,0,681390,12933,Tashkent
2019-03-07,3,3,2019,7,1,0.0,0,0,696335,11890,Fergana
2019-03-08,4,3,2019,8,1,0.0,0,0,659160,10147,Namangan
2019-03-09,5,3,2019,9,1,0.0,0,0,536784,12393,Tashkent
2019-03-10,6,3,2019,10,1,0.0,1,0,639254,12587,Tashkent
2019-03-11,0,3,2019,11,1,0.0,0,0,645650,12564,Namangan
2019-03-12,1,3,2019,12,1,0.0,0,0,672904,13233,Namangan
2019-03-13,2,3,2019,13,1,0.0,0,0,704723,11391,Tashkent
2019-03-14,3,3,2019,14,1,0.0,0,0,663492,12796,Samarkand
2019-03-15,4,3,2019,15,1,0.0,0,0,706629,13209,Tashkent
2019-03-16,5,3,2019,16,1,0.0,0,0,464747,10836,Tashkent
2019-03-17,6,3,2019,17,1,0.0,0,0,536672,12518,Andijan
2019-03-18,0,3,2019,18,1,0.0,0,0,669029,11862,Namangan
2019-03-19,1,3,2019,19,1,0.0,0,0,659293,12204,Fergana
2019-03-20,2,3,2019,20,1,0.0,0,1,904895,12551,Tashkent
2019-03-21,3,3,2019,21,1,0.0,0,1,830613,11886,Namangan
2019-03-22,4,3,2019,22,1,0.0,0,1,895185,11739,Tashkent
2019-03-23,5,3,2019,23,1,0.0,0,1,715104,12310,Tashkent
2019-03-24,6,3,2019,24,1,0.0,0,0,553590,11417,Samarkand
2019-03-25,0,3,2019,25,1,0.0,1,0,801274,11421,Tashkent
2019-03-26,1,3,2019,26,1,0.0,0,0,649548,12837,Fergana
2019-03-27,2,3,2019,27,1,0.0,0,0,658343,11378,Samarkand
2019-03-28,3,3,2019,28,1,0.0,0,0,697019,12834,Tashkent
2019-03-29,4,3,2019,29,1,0.0,0,0,681820,12674,Tashkent
2019-03-30,5,3,2019,30,1,0.0,0,0,514230,10927,Tashkent
2019-03-31,6,3,2019,31,1,0.0,0,0,536605,11769,Tashkent
2019-04-01,0,4,2019,1,2,0.0,0,0,531010,13270,Samarkand
2019-04-02,1,4,2019,2,2,0.0,0,0,549918,11533,Namangan
2019-04-03,2,4,2019,3,2,0.0,0,0,514976,11950,Tashkent
2019-04-04,3,4,2019,4,2,0.0,0,0,523356,12695,Tashkent
2019-04-05,4,4,2019,5,2,0.0,0,0,522433,12955,Samarkand
2019-04-06,5,4,2019,6,2,0.0,0,0,390087,12131,Namangan
2019-04-07,6,4,2019,7,2,0.0,0,0,419607,11857,Tashkent
2019-04-08,0,4,2019,8,2,0.0,0,0,537669,13477,Tashkent
2019-04-09,1,4,2019,9,2,0.0,0,0,532674,13734,Samarkand
2019-04-10,2,4,2019,10,2,0.0,1,0,644180,13129,Tashkent
2019-04-11,3,4,2019,11,2,0.0,0,0,503268,12418,Tashkent
2019-04-12,4,4,2019,12,2,0.0,0,0,524941,11706,Fergana
2019-04-13,5,4,2019,13,2,0.0,0,0,411101,11692,Samarkand
2019-04-14,6,4,2019,14,2,0.0,0,0,403782,12778,Samarkand
2019-04-15,0,4,2019,15,2,0.0,0,0,531834,12698,Fergana
2019-04-16,1,4,2019,16,2,0.0,0,0,544402,13488,Fergana
2019-04-17,2,4,2019,17,2,0.0,0,0,576653,12891,Tashkent
2019-04-18,3,4,2019,18,2,0.0,0,0,540402,11172,Tashkent
2019-04-19,4,4,2019,19,2,0.0,0,0,542644,13219,Tashkent
2019-04-20,5,4,2019,20,2,0.0,0,0,418054,11583,Tashkent
2019-04-21,6,4,2019,21,2,0.0,0,0,387450,12077,Fergana
2019-04-22,0,4,2019,22,2,0.0,0,0,537911,12588,Namangan
2019-04-23,1,4,2019,23,2,0.0,0,0,540239,13988,Andijan
2019-04-24,2,4,2019,24,2,0.0,0,0,592545,14883,Samarkand
2019-04-25,3,4,2019,25,2,0.0,1,0,653558,12884,Tashkent
2019-04-26,4,4,2019,26,2,0.0,0,0,546833,12255,Tashkent
2019-04-27,5,4,2019,27,2,0.0,0,0,421219,12833,Namangan
2019-04-28,6,4,2019,28,2,0.0,0,0,402429,13119,Samarkand
2019-04-29,0,4,2019,29,2,0.0,0,0,566458,12156,Samarkand
2019-04-30,1,4,2019,30,2,0.0,0,0,558463,13852,Fergana
2019-05-01,2,5,2019,1,2,0.0,0,0,582635,12604,Fergana
2019-05-02,3,5,2019,2,2,0.0,0,0,544684,12821,Namangan
2019-05-03,4,5,2019,3,2,0.0,0,0,597470,12959,Tashkent
2019-05-04,5,5,2019,4,2,0.0,0,0,416877,12767,Fergana
2019-05-05,6,5,2019,5,2,1.0,0,0,398106,13105,Namangan
2019-05-06,0,5,2019,6,2,1.0,0,0,542841,11943,Tashkent
2019-05-07,1,5,2019,7,2,1.0,0,0,479742,11994,Samarkand
2019-05-08,2,5,2019,8,2,1.0,0,0,488634,11564,Tashkent
2019-05-09,3,5,2019,9,2,1.0,0,0,502379,12799,Andijan
2019-05-10,4,5,2019,10,2,1.0,1,0,598683,13074,Tashkent
2019-05-11,5,5,2019,11,2,1.0,0,0,366714,12821,Samarkand
2019-05-12,6,5,2019,12,2,1.0,0,0,392369,13798,Tashkent
2019-05-13,0,5,2019,13,2,1.0,0,0,480754,12457,Fergana
2019-05-14,1,5,2019,14,2,1.0,0,0,512035,13000,Tashkent
2019-05-15,2,5,2019,15,2,1.0,0,0,484446,11595,Tashkent
2019-05-16,3,5,2019,16,2,1.0,0,0,534578,12162,Samarkand
2019-05-17,4,5,2019,17,2,1.0,0,0,488014,13032,Andijan
2019-05-18,5,5,2019,18,2,1.0,0,0,388230,13158,Tashkent
2019-05-19,6,5,2019,19,2,1.0,0,0,406440,12247,Tashkent
2019-05-20,0,5,2019,20,2,1.0,0,0,480217,12429,Fergana
2019-05-21,1,5,2019,21,2,1.0,0,0,510114,11275,Samarkand
2019-05-22,2,5,2019,22,2,1.0,0,0,532398,12207,Andijan
2019-05-23,3,5,2019,23,2,1.0,0,0,473815,13209,Tashkent
2019-05-24,4,5,2019,24,2,1.0,0,0,510548,12960,Samarkand
2019-05-25,5,5,2019,25,2,1.0,1,0,487703,12904,Tashkent
2019-05-26,6,5,2019,26,2,1.0,0,0,408364,12547,Tashkent
2019-05-27,0,5,2019,27,2,1.0,0,0,482959,12516,Fergana
2019-05-28,1,5,2019,28,2,1.0,0,0,481671,11986,Samarkand
2019-05-29,2,5,2019,29,2,1.0,0,0,519590,13077,Fergana
2019-05-30,3,5,2019,30,2,1.0,0,0,515448,12858,Tashkent
2019-05-31,4,5,2019,31,2,1.0,0,0,514938,12918,Tashkent
2019-06-01,5,6,2019,1,2,1.0,0,0,383740,12107,Tashkent
2019-06-02,6,6,2019,2,2,1.0,0,0,368513,10809,Andijan
2019-06-03,0,6,2019,3,2,1.0,0,0,490591,13413,Tashkent
2019-06-04,1,6,2019,4,2,0.0,0,0,559309,12155,Tashkent
2019-06-05,2,6,2019,5,2,0.0,0,0,537489,11852,Tashkent
2019-06-06,3,6,2019,6,2,0.0,0,0,595098,13100,Samarkand
2019-06-07,4,6,2019,7,2,0.0,0,0,564745,12235,Tashkent
2019-06-08,5,6,2019,8,2,0.0,0,0,412057,13400,Andijan
2019-06-09,6,6,2019,9,2,0.0,0,0,444415,13050,Tashkent
2019-06-10,0,6,2019,10,2,0.0,1,0,651470,13106,Namangan
2019-06-11,1,6,2019,11,2,0.0,0,0,573637,11470,Tashkent
2019-06-12,2,6,2019,12,2,0.0,0,0,582396,13536,Fergana
2019-06-13,3,6,2019,13,2,0.0,0,0,538787,12779,Andijan
2019-06-14,4,6,2019,14,2,0.0,0,0,579033,12278,Tashkent
2019-06-15,5,6,2019,15,2,0.0,0,0,442444,12692,Andijan
2019-06-16,6,6,2019,16,2,0.0,0,0,449951,11160,Samarkand
2019-06-17,0,6,2019,17,2,0.0,0,0,601381,12911,Andijan
2019-06-18,1,6,2019,18,2,0.0,0,0,553955,11764,Fergana
2019-06-19,2,6,2019,19,2,0.0,0,0,543041,11509,Tashkent
2019-06-20,3,6,2019,20,2,0.0,0,0,540459,11377,Tashkent
2019-06-21,4,6,2019,21,2,0.0,0,0,542572,13488,Tashkent
2019-06-22,5,6,2019,22,2,0.0,0,0,436504,12098,Tashkent
2019-06-23,6,6,2019,23,2,0.0,0,0,444207,13832,Tashkent
2019-06-24,0,6,2019,24,2,0.0,0,0,568530,12180,Tashkent
2019-06-25,1,6,2019,25,2,0.0,1,0,709316,11246,Tashkent
2019-06-26,2,6,2019,26,2,0.0,0,0,563557,11722,Fergana
2019-06-27,3,6,2019,27,2,0.0,0,0,596520,13608,Tashkent
2019-06-28,4,6,2019,28,2,0.0,0,0,558249,12498,Tashkent
2019-06-29,5,6,2019,29,2,0.0,0,0,488393,12187,Samarkand
2019-06-30,6,6,2019,30,2,0.0,0,0,451875,12758,Tashkent
2019-07-01,0,7,2019,1,3,0.0,0,0,540637,13034,Tashkent
2019-07-02,1,7,2019,2,3,0.0,0,0,536306,13530,Tashkent
2019-07-03,2,7,2019,3,3,0.0,0,0,571606,13799,Andijan
2019-07-04,3,7,2019,4,3,0.0,0,0,556244,12356,Namangan
2019-07-05,4,7,2019,5,3,0.0,0,0,577781,11586,Tashkent
2019-07-06,5,7,2019,6,3,0.0,0,0,446829,12320,Fergana
2019-07-07,6,7,2019,7,3,0.0,0,0,437622,12862,Samarkand
2019-07-08,0,7,2019,8,3,0.0,0,0,544096,11886,Fergana
2019-07-09,1,7,2019,9,3,0.0,0,0,529497,11895,Fergana
2019-07-10,2,7,2019,10,3,0.0,1,0,675947,12940,Samarkand
2019-07-11,3,7,2019,11,3,0.0,0,0,583951,12629,Tashkent
2019-07-12,4,7,2019,12,3,0.0,0,0,569929,12698,Tashkent
2019-07-13,5,7,2019,13,3,0.0,0,0,419163,12068,Samarkand
2019-07-14,6,7,2019,14,3,0.0,0,0,444579,12494,Namangan
2019-07-15,0,7,2019,15,3,0.0,0,0,575265,11943,Samarkand
2019-07-16,1,7,2019,16,3,0.0,0,0,546968,13398,Namangan
2019-07-17,2,7,2019,17,3,0.0,0,0,570986,13517,Andijan
2019-07-18,3,7,2019,18,3,0.0,0,0,569302,11216,Tashkent
2019-07-19,4,7,2019,19,3,0.0,0,0,542473,11952,Fergana
2019-07-20,5,7,2019,20,3,0.0,0,0,450129,11502,Fergana
2019-07-21,6,7,2019,21,3,0.0,0,0,454118,12183,Andijan
2019-07-22,0,7,2019,22,3,0.0,0,0,594604,12640,Andijan
2019-07-23,1,7,2019,23,3,0.0,0,0,594442,11550,Fergana
2019-07-24,2,7,2019,24,3,0.0,0,0,539424,11976,Tashkent
2019-07-25,3,7,2019,25,3,0.0,1,0,670921,11914,Fergana
2019-07-26,4,7,2019,26,3,0.0,0,0,583636,12886,Tashkent
2019-07-27,5,7,2019,27,3,0.0,0,0,455601,12779,Fergana
2019-07-28,6,7,2019,28,3,0.0,0,0,456011,12150,Andijan
2019-07-29,0,7,2019,29,3,0.0,0,0,661668,12872,Tashkent
2019-07-30,1,7,2019,30,3,0.0,0,0,586906,12297,Samarkand
2019-07-31,2,7,2019,31,3,0.0,0,0,600376,12521,Tashkent
2019-08-01,3,8,2019,1,3,0.0,0,0,621575,14080,Tashkent
2019-08-02,4,8,2019,2,3,0.0,0,0,614851,13817,Tashkent
2019-08-03,5,8,2019,3,3,0.0,0,0,461903,11709,Fergana
2019-08-04,6,8,2019,4,3,0.0,0,0,482414,13416,Andijan
2019-08-05,0,8,2019,5,3,0.0,0,0,582196,13405,Andijan
2019-08-06,1,8,2019,6,3,0.0,0,0,595582,11840,Tashkent
2019-08-07,2,8,2019,7,3,0.0,0,0,590106,13418,Namangan
2019-08-08,3,8,2019,8,3,0.0,0,0,604273,13996,Fergana
2019-08-09,4,8,2019,9,3,0.0,0,0,658625,11871,Tashkent
2019-08-10,5,8,2019,10,3,0.0,1,0,531243,12039,Tashkent
2019-08-11,6,8,2019,11,3,0.0,0,0,483923,13591,Tashkent
2019-08-12,0,8,2019,12,3,0.0,0,0,565366,12997,Andijan
2019-08-13,1,8,2019,13,3,0.0,0,0,593448,13225,Samarkand
2019-08-14,2,8,2019,14,3,0.0,0,0,631750,13059,Fergana
2019-08-15,3,8,2019,15,3,0.0,0,0,607453,13103,Tashkent
2019-08-16,4,8,2019,16,3,0.0,0,0,580268,11733,Fergana
2019-08-17,5,8,2019,17,3,0.0,0,0,459857,13635,Tashkent
2019-08-18,6,8,2019,18,3,0.0,0,0,486685,13737,Tashkent
2019-08-19,0,8,2019,19,3,0.0,0,0,590198,12621,Samarkand
2019-08-20,1,8,2019,20,3,0.0,0,0,613744,12773,Tashkent
2019-08-21,2,8,2019,21,3,0.0,0,0,610103,11587,Namangan
2019-08-22,3,8,2019,22,3,0.0,0,0,593625,13226,Tashkent
2019-08-23,4,8,2019,23,3,0.0,0,0,662344,13276,Fergana
2019-08-24,5,8,2019,24,3,0.0,0,0,488303,12772,Tashkent
2019-08-25,6,8,2019,25,3,0.0,1,0,534388,13725,Samarkand
2019-08-26,0,8,2019,26,3,0.0,0,0,616148,12562,Tashkent
2019-08-27,1,8,2019,27,3,0.0,0,0,595904,13284,Tashkent
2019-08-28,2,8,2019,28,3,0.0,0,0,633517,12020,Andijan
2019-08-29,3,8,2019,29,3,0.0,0,0,593711,12821,Tashkent
2019-08-30,4,8,2019,30,3,0.0,0,0,610854,12704,Namangan
2019-08-31,5,8,2019,31,3,0.0,0,0,488746,13027,Andijan
2019-09-01,6,9,2019,1,3,0.0,0,0,520885,12554,Tashkent
2019-09-02,0,9,2019,2,3,0.0,0,0,614983,12748,Tashkent
2019-09-03,1,9,2019,3,3,0.0,0,0,637897,13518,Fergana
2019-09-04,2,9,2019,4,3,0.0,0,0,634804,12511,Andijan
2019-09-05,3,9,2019,5,3,0.0,0,0,630723,11579,Andijan
2019-09-06,4,9,2019,6,3,0.0,0,0,693973,14267,Samarkand
2019-09-07,5,9,2019,7,3,0.0,0,0,514222,13976,Fergana
2019-09-08,6,9,2019,8,3,0.0,0,0,480912,11841,Tashkent
2019-09-09,0,9,2019,9,3,0.0,0,0,673713,13430,Andijan
2019-09-10,1,9,2019,10,3,0.0,1,0,860853,12479,Andijan
2019-09-11,2,9,2019,11,3,0.0,0,0,677843,13096,Tashkent
2019-09-12,3,9,2019,12,3,0.0,0,0,611917,13124,Tashkent
2019-09-13,4,9,2019,13,3,0.0,0,0,639437,12704,Tashkent
2019-09-14,5,9,2019,14,3,0.0,0,0,534841,12268,Tashkent
2019-09-15,6,9,2019,15,3,0.0,0,0,495056,12347,Namangan
2019-09-16,0,9,2019,16,3,0.0,0,0,665338,12170,Tashkent
2019-09-17,1,9,2019,17,3,0.0,0,0,674561,12241,Tashkent
2019-09-18,2,9,2019,18,3,0.0,0,0,630564,12856,Tashkent
2019-09-19,3,9,2019,19,3,0.0,0,0,653841,12340,Andijan
2019-09-20,4,9,2019,20,3,0.0,0,0,570913,13462,Samarkand
2019-09-21,5,9,2019,21,3,0.0,0,0,491100,14110,Tashkent
2019-09-22,6,9,2019,22,3,0.0,0,0,507340,12459,Tashkent
2019-09-23,0,9,2019,23,3,0.0,0,0,624810,13119,Andijan
2019-09-24,1,9,2019,24,3,0.0,0,0,701170,13330,Namangan
2019-09-25,2,9,2019,25,3,0.0,1,0,757703,13312,Tashkent
2019-09-26,3,9,2019,26,3,0.0,0,0,647707,12998,Tashkent
2019-09-27,4,9,2019,27,3,0.0,0,0,663324,13535,Tashkent
2019-09-28,5,9,2019,28,3,0.0,0,0,544837,13330,Tashkent
2019-09-29,6,9,2019,29,3,0.0,0,0,485965,11958,Samarkand
2019-09-30,0,9,2019,30,3,0.0,0,0,692338,13647,Andijan
2019-10-01,1,10,2019,1,4,0.0,0,0,681317,13665,Samarkand
2019-10-02,2,10,2019,2,4,0.0,0,0,654857,12348,Namangan
2019-10-03,3,10,2019,3,4,0.0,0,0,694807,12992,Tashkent
2019-10-04,4,10,2019,4,4,0.0,0,0,688214,13512,Fergana
2019-10-05,5,10,2019,5,4,0.0,0,0,520222,12802,Fergana
2019-10-06,6,10,2019,6,4,0.0,0,0,534962,13831,Tashkent
2019-10-07,0,10,2019,7,4,0.0,0,0,673970,14867,Tashkent
2019-10-08,1,10,2019,8,4,0.0,0,0,688213,12351,Samarkand
2019-10-09,2,10,2019,9,4,0.0,0,0,703846,11878,Tashkent
2019-10-10,3,10,2019,10,4,0.0,1,0,890363,13230,Tashkent
2019-10-11,4,10,2019,11,4,0.0,0,0,652844,13567,Samarkand
2019-10-12,5,10,2019,12,4,0.0,0,0,581949,12809,Andijan
2019-10-13,6,10,2019,13,4,0.0,0,0,494752,14160,Samarkand
2019-10-14,0,10,2019,14,4,0.0,0,0,684425,11930,Namangan
2019-10-15,1,10,2019,15,4,0.0,0,0,705410,13558,Tashkent
2019-10-16,2,10,2019,16,4,0.0,0,0,697530,12523,Fergana
2019-10-17,3,10,2019,17,4,0.0,0,0,673168,14387,Samarkand
2019-10-18,4,10,2019,18,4,0.0,0,0,685199,14609,Namangan
2019-10-19,5,10,2019,19,4,0.0,0,0,528763,12405,Tashkent
2019-10-20,6,10,2019,20,4,0.0,0,0,527131,12582,Samarkand
2019-10-21,0,10,2019,21,4,0.0,0,0,716256,13713,Samarkand
2019-10-22,1,10,2019,22,4,0.0,0,0,703205,12719,Tashkent
2019-10-23,2,10,2019,23,4,0.0,0,0,674661,12996,Tashkent
2019-10-24,3,10,2019,24,4,0.0,0,0,719474,13056,Tashkent
2019-10-25,4,10,2019,25,4,0.0,1,0,858414,11503,Tashkent
2019-10-26,5,10,2019,26,4,0.0,0,0,560262,13031,Namangan
2019-10-27,6,10,2019,27,4,0.0,0,0,556758,12494,Tashkent
2019-10-28,0,10,2019,28,4,0.0,0,0,673741,12655,Tashkent
2019-10-29,1,10,2019,29,4,0.0,0,0,681814,14208,Fergana
2019-10-30,2,10,2019,30,4,0.0,0,0,718900,12051,Tashkent
2019-10-31,3,10,2019,31,4,0.0,0,0,715685,13711,Samarkand
2019-11-01,4,11,2019,1,4,0.0,0,0,711575,12840,Tashkent
2019-11-02,5,11,2019,2,4,0.0,0,0,558575,12843,Andijan
2019-11-03,6,11,2019,3,4,0.0,0,0,584876,13703,Namangan
2019-11-04,0,11,2019,4,4,0.0,0,0,697094,13346,Namangan
2019-11-05,1,11,2019,5,4,0.0,0,0,730234,13534,Tashkent
2019-11-06,2,11,2019,6,4,0.0,0,0,709419,13856,Fergana
2019-11-07,3,11,2019,7,4,0.0,0,0,709579,12819,Tashkent
2019-11-08,4,11,2019,8,4,0.0,0,0,747908,12598,Tashkent
2019-11-09,5,11,2019,9,4,0.0,0,0,577749,12223,Tashkent
2019-11-10,6,11,2019,10,4,0.0,1,0,705128,12435,Samarkand
2019-11-11,0,11,2019,11,4,0.0,0,0,755756,15458,Samarkand
2019-11-12,1,11,2019,12,4,0.0,0,0,719465,14098,Samarkand
2019-11-13,2,11,2019,13,4,0.0,0,0,739098,12025,Tashkent
2019-11-14,3,11,2019,14,4,0.0,0,0,711147,12051,Tashkent
2019-11-15,4,11,2019,15,4,0.0,0,0,730041,13498,Fergana
2019-11-16,5,11,2019,16,4,0.0,0,0,559692,13554,Tashkent
2019-11-17,6,11,2019,17,4,0.0,0,0,565284,13559,Fergana
2019-11-18,0,11,2019,18,4,0.0,0,0,739737,12919,Tashkent
2019-11-19,1,11,2019,19,4,0.0,0,0,699483,13026,Namangan
2019-11-20,2,11,2019,20,4,0.0,0,0,784342,13392,Samarkand
2019-11-21,3,11,2019,21,4,0.0,0,0,695231,13202,Tashkent
2019-11-22,4,11,2019,22,4,0.0,0,0,689786,11362,Tashkent
2019-11-23,5,11,2019,23,4,0.0,0,0,592197,12957,Samarkand
2019-11-24,6,11,2019,24,4,0.0,0,0,584398,12463,Namangan
2019-11-25,0,11,2019,25,4,0.0,1,0,908893,13288,Tashkent
2019-11-26,1,11,2019,26,4,0.0,0,0,745750,15539,Tashkent
2019-11-27,2,11,2019,27,4,0.0,0,0,727728,13448,Namangan
2019-11-28,3,11,2019,28,4,0.0,0,0,702551,12907,Fergana
2019-11-29,4,11,2019,29,4,0.0,0,0,731535,13899,Tashkent
2019-11-30,5,11,2019,30,4,0.0,0,0,553934,13551,Samarkand
2019-12-01,6,12,2019,1,4,0.0,0,0,635126,13505,Tashkent
2019-12-02,0,12,2019,2,4,0.0,0,0,779749,13657,Samarkand
2019-12-03,1,12,2019,3,4,0.0,0,0,759108,14821,Tashkent
2019-12-04,2,12,2019,4,4,0.0,0,0,775597,12274,Andijan
2019-12-05,3,12,2019,5,4,0.0,0,0,799354,13561,Samarkand
2019-12-06,4,12,2019,6,4,0.0,0,0,769288,12445,Samarkand
2019-12-07,5,12,2019,7,4,0.0,0,0,594202,13634,Samarkand
2019-12-08,6,12,2019,8,4,0.0,0,0,620925,12458,Andijan
2019-12-09,0,12,2019,9,4,0.0,0,0,796775,12863,Namangan
2019-12-10,1,12,2019,10,4,0.0,1,0,943916,12964,Samarkand
2019-12-11,2,12,2019,11,4,0.0,0,0,775494,13984,Fergana
2019-12-12,3,12,2019,12,4,0.0,0,0,798401,13942,Samarkand
2019-12-13,4,12,2019,13,4,0.0,0,0,745871,12214,Samarkand
2019-12-14,5,12,2019,14,4,0.0,0,0,583279,13258,Tashkent
2019-12-15,6,12,2019,15,4,0.0,0,0,600824,12650,Samarkand
2019-12-16,0,12,2019,16,4,0.0,0,0,786976,12214,Tashkent
2019-12-17,1,12,2019,17,4,0.0,0,0,804307,13051,Andijan
2019-12-18,2,12,2019,18,4,0.0,0,0,842026,12981,Tashkent
2019-12-19,3,12,2019,19,4,0.0,0,0,823080,15173,Andijan
2019-12-20,4,12,2019,20,4,0.0,0,0,791361,13581,Samarkand
2019-12-21,5,12,2019,21,4,0.0,0,0,621291,12136,Samarkand
2019-12-22,6,12,2019,22,4,0.0,0,0,597338,12790,Samarkand
2019-12-23,0,12,2019,23,4,0.0,0,0,797898,14063,Tashkent
2019-12-24,1,12,2019,24,4,0.0,0,0,789941,14920,Tashkent
2019-12-25,2,12,2019,25,4,0.0,1,0,988411,11984,Tashkent
2019-12-26,3,12,2019,26,4,0.0,0,0,774039,11752,Samarkand
2019-12-27,4,12,2019,27,4,0.0,0,0,817853,14756,Tashkent
2019-12-28,5,12,2019,28,4,0.0,0,0,663822,13575,Fergana
2019-12-29,6,12,2019,29,4,0.0,0,0,623283,12572,Tashkent
2019-12-30,0,12,2019,30,4,0.0,0,0,816162,13698,Tashkent
2019-12-31,1,12,2019,31,4,0.0,0,0,826131,11165,Tashkent
2020-01-01,2,1,2020,1,1,0.0,0,0,751452,13280,Andijan
2020-01-02,3,1,2020,2,1,0.0,0,0,771209,13543,Fergana
2020-01-03,4,1,2020,3,1,0.0,0,0,765393,14023,Tashkent
