date,day_of_week,month,year,day_of_month,quarter,is_ramadan,is_payday,is_navruz,transaction_volume,avg_transaction_value,region,usd_uzs_rate,usd_uzs_rate_lag7,usd_uzs_rate_change
2019-05-01,2,5,2019,1,2,0.0,0,0,582635,12604,Fergana,8445.49,8441.36,0.000489
2019-05-02,3,5,2019,2,2,0.0,0,0,544684,12821,Namangan,8445.49,8441.36,0.000489
2019-05-03,4,5,2019,3,2,0.0,0,0,597470,12959,Tashkent,8445.49,8441.36,0.000489
2019-05-04,5,5,2019,4,2,0.0,0,0,416877,12767,Fergana,8445.49,8441.36,0.000489
2019-05-05,6,5,2019,5,2,1.0,0,0,398106,13105,Namangan,8445.49,8441.36,0.000489
2019-05-06,0,5,2019,6,2,1.0,0,0,542841,11943,Tashkent,8445.49,8441.36,0.000489
2019-05-07,1,5,2019,7,2,1.0,0,0,479742,11994,Samarkand,8448.89,8445.49,0.000403
2019-05-08,2,5,2019,8,2,1.0,0,0,488634,11564,Tashkent,8448.89,8445.49,0.000403
2019-05-09,3,5,2019,9,2,1.0,0,0,502379,12799,Andijan,8448.89,8445.49,0.000403
2019-05-10,4,5,2019,10,2,1.0,1,0,598683,13074,Tashkent,8448.89,8445.49,0.000403
2019-05-11,5,5,2019,11,2,1.0,0,0,366714,12821,Samarkand,8448.89,8445.49,0.000403
2019-05-12,6,5,2019,12,2,1.0,0,0,392369,13798,Tashkent,8448.89,8445.49,0.000403
2019-05-13,0,5,2019,13,2,1.0,0,0,480754,12457,Fergana,8448.89,8445.49,0.000403
2019-05-14,1,5,2019,14,2,1.0,0,0,512035,13000,Tashkent,8458.16,8448.89,0.001097
2019-05-15,2,5,2019,15,2,1.0,0,0,484446,11595,Tashkent,8458.16,8448.89,0.001097
2019-05-16,3,5,2019,16,2,1.0,0,0,534578,12162,Samarkand,8458.16,8448.89,0.001097
2019-05-17,4,5,2019,17,2,1.0,0,0,488014,13032,Andijan,8458.16,8448.89,0.001097
2019-05-18,5,5,2019,18,2,1.0,0,0,388230,13158,Tashkent,8458.16,8448.89,0.001097
2019-05-19,6,5,2019,19,2,1.0,0,0,406440,12247,Tashkent,8458.16,8448.89,0.001097
2019-05-20,0,5,2019,20,2,1.0,0,0,480217,12429,Fergana,8458.16,8448.89,0.001097
2019-05-21,1,5,2019,21,2,1.0,0,0,510114,11275,Samarkand,8460.92,8458.16,0.000326
2019-05-22,2,5,2019,22,2,1.0,0,0,532398,12207,Andijan,8460.92,8458.16,0.000326
2019-05-23,3,5,2019,23,2,1.0,0,0,473815,13209,Tashkent,8460.92,8458.16,0.000326
2019-05-24,4,5,2019,24,2,1.0,0,0,510548,12960,Samarkand,8460.92,8458.16,0.000326
2019-05-25,5,5,2019,25,2,1.0,1,0,487703,12904,Tashkent,8460.92,8458.16,0.000326
2019-05-26,6,5,2019,26,2,1.0,0,0,408364,12547,Tashkent,8460.92,8458.16,0.000326
2019-05-27,0,5,2019,27,2,1.0,0,0,482959,12516,Fergana,8460.92,8458.16,0.000326
2019-05-28,1,5,2019,28,2,1.0,0,0,481671,11986,Samarkand,8485.91,8460.92,0.002954
2019-05-29,2,5,2019,29,2,1.0,0,0,519590,13077,Fergana,8485.91,8460.92,0.002954
2019-05-30,3,5,2019,30,2,1.0,0,0,515448,12858,Tashkent,8485.91,8460.92,0.002954
2019-05-31,4,5,2019,31,2,1.0,0,0,514938,12918,Tashkent,8485.91,8460.92,0.002954
2019-06-01,5,6,2019,1,2,1.0,0,0,383740,12107,Tashkent,8485.91,8460.92,0.002954
2019-06-02,6,6,2019,2,2,1.0,0,0,368513,10809,Andijan,8485.91,8460.92,0.002954
2019-06-03,0,6,2019,3,2,1.0,0,0,490591,13413,Tashkent,8485.91,8460.92,0.002954
2019-06-04,1,6,2019,4,2,0.0,0,0,559309,12155,Tashkent,8513.57,8485.91,0.00326
2019-06-05,2,6,2019,5,2,0.0,0,0,537489,11852,Tashkent,8513.57,8485.91,0.00326
2019-06-06,3,6,2019,6,2,0.0,0,0,595098,13100,Samarkand,8513.57,8485.91,0.00326
2019-06-07,4,6,2019,7,2,0.0,0,0,564745,12235,Tashkent,8513.57,8485.91,0.00326
2019-06-08,5,6,2019,8,2,0.0,0,0,412057,13400,Andijan,8513.57,8485.91,0.00326
2019-06-09,6,6,2019,9,2,0.0,0,0,444415,13050,Tashkent,8513.57,8485.91,0.00326
2019-06-10,0,6,2019,10,2,0.0,1,0,651470,13106,Namangan,8513.57,8485.91,0.00326
2019-06-11,1,6,2019,11,2,0.0,0,0,573637,11470,Tashkent,8518.68,8513.57,0.0006
2019-06-12,2,6,2019,12,2,0.0,0,0,582396,13536,Fergana,8518.68,8513.57,0.0006
2019-06-13,3,6,2019,13,2,0.0,0,0,538787,12779,Andijan,8518.68,8513.57,0.0006
2019-06-14,4,6,2019,14,2,0.0,0,0,579033,12278,Tashkent,8518.68,8513.57,0.0006
2019-06-15,5,6,2019,15,2,0.0,0,0,442444,12692,Andijan,8518.68,8513.57,0.0006
2019-06-16,6,6,2019,16,2,0.0,0,0,449951,11160,Samarkand,8518.68,8513.57,0.0006
2019-06-17,0,6,2019,17,2,0.0,0,0,601381,12911,Andijan,8518.68,8513.57,0.0006
2019-06-18,1,6,2019,18,2,0.0,0,0,553955,11764,Fergana,8535.74,8518.68,0.002003
2019-06-19,2,6,2019,19,2,0.0,0,0,543041,11509,Tashkent,8535.74,8518.68,0.002003
2019-06-20,3,6,2019,20,2,0.0,0,0,540459,11377,Tashkent,8535.74,8518.68,0.002003
2019-06-21,4,6,2019,21,2,0.0,0,0,542572,13488,Tashkent,8535.74,8518.68,0.002003
2019-06-22,5,6,2019,22,2,0.0,0,0,436504,12098,Tashkent,8535.74,8518.68,0.002003
2019-06-23,6,6,2019,23,2,0.0,0,0,444207,13832,Tashkent,8535.74,8518.68,0.002003
2019-06-24,0,6,2019,24,2,0.0,0,0,568530,12180,Tashkent,8535.74,8518.68,0.002003
2019-06-25,1,6,2019,25,2,0.0,1,0,709316,11246,Tashkent,8562.34,8535.74,0.003116
2019-06-26,2,6,2019,26,2,0.0,0,0,563557,11722,Fergana,8562.34,8535.74,0.003116
2019-06-27,3,6,2019,27,2,0.0,0,0,596520,13608,Tashkent,8562.34,8535.74,0.003116
2019-06-28,4,6,2019,28,2,0.0,0,0,558249,12498,Tashkent,8562.34,8535.74,0.003116
2019-06-29,5,6,2019,29,2,0.0,0,0,488393,12187,Samarkand,8562.34,8535.74,0.003116
2019-06-30,6,6,2019,30,2,0.0,0,0,451875,12758,Tashkent,8562.34,8535.74,0.003116
2019-07-01,0,7,2019,1,3,0.0,0,0,540637,13034,Tashkent,8562.34,8535.74,0.003116
2019-07-02,1,7,2019,2,3,0.0,0,0,536306,13530,Tashkent,8574.74,8562.34,0.001448
2019-07-03,2,7,2019,3,3,0.0,0,0,571606,13799,Andijan,8574.74,8562.34,0.001448
2019-07-04,3,7,2019,4,3,0.0,0,0,556244,12356,Namangan,8574.74,8562.34,0.001448
2019-07-05,4,7,2019,5,3,0.0,0,0,577781,11586,Tashkent,8574.74,8562.34,0.001448
2019-07-06,5,7,2019,6,3,0.0,0,0,446829,12320,Fergana,8574.74,8562.34,0.001448
2019-07-07,6,7,2019,7,3,0.0,0,0,437622,12862,Samarkand,8574.74,8562.34,0.001448
2019-07-08,0,7,2019,8,3,0.0,0,0,544096,11886,Fergana,8574.74,8562.34,0.001448
2019-07-09,1,7,2019,9,3,0.0,0,0,529497,11895,Fergana,8578.36,8574.74,0.000422
2019-07-10,2,7,2019,10,3,0.0,1,0,675947,12940,Samarkand,8578.36,8574.74,0.000422
2019-07-11,3,7,2019,11,3,0.0,0,0,583951,12629,Tashkent,8578.36,8574.74,0.000422
2019-07-12,4,7,2019,12,3,0.0,0,0,569929,12698,Tashkent,8578.36,8574.74,0.000422
2019-07-13,5,7,2019,13,3,0.0,0,0,419163,12068,Samarkand,8578.36,8574.74,0.000422
2019-07-14,6,7,2019,14,3,0.0,0,0,444579,12494,Namangan,8578.36,8574.74,0.000422
2019-07-15,0,7,2019,15,3,0.0,0,0,575265,11943,Samarkand,8578.36,8574.74,0.000422
2019-07-16,1,7,2019,16,3,0.0,0,0,546968,13398,Namangan,8584.5,8578.36,0.000716
2019-07-17,2,7,2019,17,3,0.0,0,0,570986,13517,Andijan,8584.5,8578.36,0.000716
2019-07-18,3,7,2019,18,3,0.0,0,0,569302,11216,Tashkent,8584.5,8578.36,0.000716
2019-07-19,4,7,2019,19,3,0.0,0,0,542473,11952,Fergana,8584.5,8578.36,0.000716
2019-07-20,5,7,2019,20,3,0.0,0,0,450129,11502,Fergana,8584.5,8578.36,0.000716
2019-07-21,6,7,2019,21,3,0.0,0,0,454118,12183,Andijan,8584.5,8578.36,0.000716
2019-07-22,0,7,2019,22,3,0.0,0,0,594604,12640,Andijan,8584.5,8578.36,0.000716
2019-07-23,1,7,2019,23,3,0.0,0,0,594442,11550,Fergana,8624.51,8584.5,0.004661
2019-07-24,2,7,2019,24,3,0.0,0,0,539424,11976,Tashkent,8624.51,8584.5,0.004661
2019-07-25,3,7,2019,25,3,0.0,1,0,670921,11914,Fergana,8624.51,8584.5,0.004661
2019-07-26,4,7,2019,26,3,0.0,0,0,583636,12886,Tashkent,8624.51,8584.5,0.004661
2019-07-27,5,7,2019,27,3,0.0,0,0,455601,12779,Fergana,8624.51,8584.5,0.004661
2019-07-28,6,7,2019,28,3,0.0,0,0,456011,12150,Andijan,8624.51,8584.5,0.004661
2019-07-29,0,7,2019,29,3,0.0,0,0,661668,12872,Tashkent,8624.51,8584.5,0.004661
2019-07-30,1,7,2019,30,3,0.0,0,0,586906,12297,Samarkand,8666.71,8624.51,0.004893
2019-07-31,2,7,2019,31,3,0.0,0,0,600376,12521,Tashkent,8666.71,8624.51,0.004893
2019-08-01,3,8,2019,1,3,0.0,0,0,621575,14080,Tashkent,8666.71,8624.51,0.004893
2019-08-02,4,8,2019,2,3,0.0,0,0,614851,13817,Tashkent,8666.71,8624.51,0.004893
2019-08-03,5,8,2019,3,3,0.0,0,0,461903,11709,Fergana,8666.71,8624.51,0.004893
2019-08-04,6,8,2019,4,3,0.0,0,0,482414,13416,Andijan,8666.71,8624.51,0.004893
2019-08-05,0,8,2019,5,3,0.0,0,0,582196,13405,Andijan,8666.71,8624.51,0.004893
2019-08-06,1,8,2019,6,3,0.0,0,0,595582,11840,Tashkent,8704.87,8666.71,0.004403
2019-08-07,2,8,2019,7,3,0.0,0,0,590106,13418,Namangan,8704.87,8666.71,0.004403
2019-08-08,3,8,2019,8,3,0.0,0,0,604273,13996,Fergana,8704.87,8666.71,0.004403
2019-08-09,4,8,2019,9,3,0.0,0,0,658625,11871,Tashkent,8704.87,8666.71,0.004403
2019-08-10,5,8,2019,10,3,0.0,1,0,531243,12039,Tashkent,8882.0,8666.71,0.024841
2019-08-11,6,8,2019,11,3,0.0,0,0,483923,13591,Tashkent,8882.0,8666.71,0.024841
2019-08-12,0,8,2019,12,3,0.0,0,0,565366,12997,Andijan,8882.0,8666.71,0.024841
2019-08-13,1,8,2019,13,3,0.0,0,0,593448,13225,Samarkand,8882.0,8704.87,0.020348
2019-08-14,2,8,2019,14,3,0.0,0,0,631750,13059,Fergana,8882.0,8704.87,0.020348
2019-08-15,3,8,2019,15,3,0.0,0,0,607453,13103,Tashkent,8882.0,8704.87,0.020348
2019-08-16,4,8,2019,16,3,0.0,0,0,580268,11733,Fergana,9061.0,8704.87,0.040912
2019-08-17,5,8,2019,17,3,0.0,0,0,459857,13635,Tashkent,9061.0,8882.0,0.020153
2019-08-18,6,8,2019,18,3,0.0,0,0,486685,13737,Tashkent,9061.0,8882.0,0.020153
2019-08-19,0,8,2019,19,3,0.0,0,0,590198,12621,Samarkand,9061.0,8882.0,0.020153
2019-08-20,1,8,2019,20,3,0.0,0,0,613744,12773,Tashkent,9061.0,8882.0,0.020153
2019-08-21,2,8,2019,21,3,0.0,0,0,610103,11587,Namangan,9384.0,8882.0,0.056519
2019-08-22,3,8,2019,22,3,0.0,0,0,593625,13226,Tashkent,9384.0,8882.0,0.056519
2019-08-23,4,8,2019,23,3,0.0,0,0,662344,13276,Fergana,9384.0,9061.0,0.035647
2019-08-24,5,8,2019,24,3,0.0,0,0,488303,12772,Tashkent,9384.0,9061.0,0.035647
2019-08-25,6,8,2019,25,3,0.0,1,0,534388,13725,Samarkand,9384.0,9061.0,0.035647
2019-08-26,0,8,2019,26,3,0.0,0,0,616148,12562,Tashkent,9384.0,9061.0,0.035647
2019-08-27,1,8,2019,27,3,0.0,0,0,595904,13284,Tashkent,9373.93,9061.0,0.034536
2019-08-28,2,8,2019,28,3,0.0,0,0,633517,12020,Andijan,9373.93,9384.0,-0.001073
2019-08-29,3,8,2019,29,3,0.0,0,0,593711,12821,Tashkent,9373.93,9384.0,-0.001073
2019-08-30,4,8,2019,30,3,0.0,0,0,610854,12704,Namangan,9373.93,9384.0,-0.001073
2019-08-31,5,8,2019,31,3,0.0,0,0,488746,13027,Andijan,9373.93,9384.0,-0.001073
2019-09-01,6,9,2019,1,3,0.0,0,0,520885,12554,Tashkent,9373.93,9384.0,-0.001073
2019-09-02,0,9,2019,2,3,0.0,0,0,614983,12748,Tashkent,9373.93,9384.0,-0.001073
2019-09-03,1,9,2019,3,3,0.0,0,0,637897,13518,Fergana,9373.93,9373.93,0.0
2019-09-04,2,9,2019,4,3,0.0,0,0,634804,12511,Andijan,9373.93,9373.93,0.0
2019-09-05,3,9,2019,5,3,0.0,0,0,630723,11579,Andijan,9384.57,9373.93,0.001135
2019-09-06,4,9,2019,6,3,0.0,0,0,693973,14267,Samarkand,9384.57,9373.93,0.001135
2019-09-07,5,9,2019,7,3,0.0,0,0,514222,13976,Fergana,9384.57,9373.93,0.001135
2019-09-08,6,9,2019,8,3,0.0,0,0,480912,11841,Tashkent,9384.57,9373.93,0.001135
2019-09-09,0,9,2019,9,3,0.0,0,0,673713,13430,Andijan,9384.57,9373.93,0.001135
2019-09-10,1,9,2019,10,3,0.0,1,0,860853,12479,Andijan,9395.63,9373.93,0.002315
2019-09-11,2,9,2019,11,3,0.0,0,0,677843,13096,Tashkent,9395.63,9373.93,0.002315
2019-09-12,3,9,2019,12,3,0.0,0,0,611917,13124,Tashkent,9395.63,9384.57,0.001179
2019-09-13,4,9,2019,13,3,0.0,0,0,639437,12704,Tashkent,9395.63,9384.57,0.001179
2019-09-14,5,9,2019,14,3,0.0,0,0,534841,12268,Tashkent,9395.63,9384.57,0.001179
2019-09-15,6,9,2019,15,3,0.0,0,0,495056,12347,Namangan,9395.63,9384.57,0.001179
2019-09-16,0,9,2019,16,3,0.0,0,0,665338,12170,Tashkent,9395.63,9384.57,0.001179
2019-09-17,1,9,2019,17,3,0.0,0,0,674561,12241,Tashkent,9411.3,9395.63,0.001668
2019-09-18,2,9,2019,18,3,0.0,0,0,630564,12856,Tashkent,9411.3,9395.63,0.001668
2019-09-19,3,9,2019,19,3,0.0,0,0,653841,12340,Andijan,9411.3,9395.63,0.001668
